product_key, product_number  , product_id, category_id, product                         , cost  , product_line, category   , subcategory      , maintenance
        108, CO-CH-CH-0234   ,        559, CO_CH      , Chain                           ,    9.0, n/a         , Components , Chains           , Yes
        109, CO-CS-CS-4759   ,        556, CO_CS      , LL Crankset                     ,   78.0, n/a         , Components , Cranksets        , Yes
        110, CO-CS-CS-6583   ,        557, CO_CS      , ML Crankset                     ,  114.0, n/a         , Components , Cranksets        , Yes
        111, CO-CS-CS-9183   ,        558, CO_CS      , HL Crankset                     ,  180.0, n/a         , Components , Cranksets        , Yes
        112, CO-DE-FD-2342   ,        552, CO_DE      , Front Derailleur                ,   41.0, n/a         , Components , Derailleurs      , Yes
        113, CO-DE-RD-2308   ,        501, CO_DE      , Rear Derailleur                 ,   54.0, n/a         , Components , Derailleurs      , Yes
        114, CO-HB-HB-M243   ,        398, CO_HB      , LL Mountain Handlebars          ,   20.0, M           , Components , Handlebars       , No
        115, CO-HB-HB-M763   ,        400, CO_HB      , ML Mountain Handlebars          ,   27.0, M           , Components , Handlebars       , No
        116, CO-HB-HB-M918   ,        402, CO_HB      , HL Mountain Handlebars          ,   53.0, M           , Components , Handlebars       , No
        117, CO-HB-HB-R504   ,        404, CO_HB      , LL Road Handlebars              ,   20.0, R           , Components , Handlebars       , No
        118, CO-HB-HB-R720   ,        406, CO_HB      , ML Road Handlebars              ,   27.0, R           , Components , Handlebars       , No
        119, CO-HB-HB-R956   ,        408, CO_HB      , HL Road Handlebars              ,   53.0, R           , Components , Handlebars       , No
        120, CO-HB-HB-T721   ,        553, CO_HB      , LL Touring Handlebars           ,   20.0, T           , Components , Handlebars       , No
        121, CO-HB-HB-T928   ,        554, CO_HB      , HL Touring Handlebars           ,   41.0, T           , Components , Handlebars       , No
        122, CO-MF-FR-M21B-40,        550, CO_MF      , LL Mountain Frame - Black- 40   ,  137.0, M           , Components , Mountain Frames  , Yes
        123, CO-MF-FR-M21B-42,        531, CO_MF      , LL Mountain Frame - Black- 42   ,  137.0, M           , Components , Mountain Frames  , Yes
        124, CO-MF-FR-M21B-44,        532, CO_MF      , LL Mountain Frame - Black- 44   ,  137.0, M           , Components , Mountain Frames  , Yes
        125, CO-MF-FR-M21B-48,        533, CO_MF      , LL Mountain Frame - Black- 48   ,  137.0, M           , Components , Mountain Frames  , Yes
        126, CO-MF-FR-M21B-52,        534, CO_MF      , LL Mountain Frame - Black- 52   ,  137.0, M           , Components , Mountain Frames  , Yes
        127, CO-MF-FR-M21S-40,        551, CO_MF      , LL Mountain Frame - Silver- 40  ,  145.0, M           , Components , Mountain Frames  , Yes
        128, CO-MF-FR-M21S-42,        524, CO_MF      , LL Mountain Frame - Silver- 42  ,  145.0, M           , Components , Mountain Frames  , Yes
        129, CO-MF-FR-M21S-44,        525, CO_MF      , LL Mountain Frame - Silver- 44  ,  145.0, M           , Components , Mountain Frames  , Yes
        130, CO-MF-FR-M21S-48,        526, CO_MF      , LL Mountain Frame - Silver- 48  ,  145.0, M           , Components , Mountain Frames  , Yes
        131, CO-MF-FR-M21S-52,        527, CO_MF      , LL Mountain Frame - Silver- 52  ,  145.0, M           , Components , Mountain Frames  , Yes
        132, CO-MF-FR-M63S-38,        549, CO_MF      , ML Mountain Frame-W - Silver- 38,  199.0, M           , Components , Mountain Frames  , Yes
        133, CO-MF-FR-M63S-40,        511, CO_MF      , ML Mountain Frame-W - Silver- 40,  199.0, M           , Components , Mountain Frames  , Yes
        134, CO-MF-FR-M63S-42,        512, CO_MF      , ML Mountain Frame-W - Silver- 42,  199.0, M           , Components , Mountain Frames  , Yes
        135, CO-MF-FR-M63S-46,        513, CO_MF      , ML Mountain Frame-W - Silver- 46,  199.0, M           , Components , Mountain Frames  , Yes
        136, CO-MF-FR-M94B-38,        306, CO_MF      , HL Mountain Frame - Black- 38   ,  739.0, M           , Components , Mountain Frames  , Yes
        137, CO-MF-FR-M94B-42,        298, CO_MF      , HL Mountain Frame - Black- 42   ,  739.0, M           , Components , Mountain Frames  , Yes
        138, CO-MF-FR-M94B-46,        303, CO_MF      , HL Mountain Frame - Black- 46   ,  739.0, M           , Components , Mountain Frames  , Yes
        139, CO-MF-FR-M94S-38,        309, CO_MF      , HL Mountain Frame - Silver- 38  ,  747.0, M           , Components , Mountain Frames  , Yes
        140, CO-MF-FR-M94S-42,        290, CO_MF      , HL Mountain Frame - Silver- 42  ,  747.0, M           , Components , Mountain Frames  , Yes
        141, CO-MF-FR-M94S-46,        295, CO_MF      , HL Mountain Frame - Silver- 46  ,  747.0, M           , Components , Mountain Frames  , Yes
        142, CO-PE-PD-M282   ,        542, CO_PD      , LL Mountain Pedal               ,   18.0, M           , Components , Pedals           , No
        143, CO-PE-PD-M340   ,        543, CO_PD      , ML Mountain Pedal               ,   28.0, M           , Components , Pedals           , No
        144, CO-PE-PD-M562   ,        544, CO_PD      , HL Mountain Pedal               ,   36.0, M           , Components , Pedals           , No
        145, CO-PE-PD-R347   ,        545, CO_PD      , LL Road Pedal                   ,   18.0, R           , Components , Pedals           , No
        146, CO-PE-PD-R563   ,        546, CO_PD      , ML Road Pedal                   ,   28.0, R           , Components , Pedals           , No
        147, CO-PE-PD-R853   ,        547, CO_PD      , HL Road Pedal                   ,   36.0, R           , Components , Pedals           , No
        148, CO-PE-PD-T852   ,        548, CO_PD      , Touring Pedal                   ,   36.0, T           , Components , Pedals           , No
        149, CO-RF-FR-R38B-44,        281, CO_RF      , LL Road Frame - Black- 44       ,  205.0, R           , Components , Road Frames      , Yes
        150, CO-RF-FR-R38B-48,        284, CO_RF      , LL Road Frame - Black- 48       ,  205.0, R           , Components , Road Frames      , Yes
        151, CO-RF-FR-R38B-52,        287, CO_RF      , LL Road Frame - Black- 52       ,  205.0, R           , Components , Road Frames      , Yes
        152, CO-RF-FR-R38B-58,        255, CO_RF      , LL Road Frame - Black- 58       ,  205.0, R           , Components , Road Frames      , Yes
        153, CO-RF-FR-R38B-60,        258, CO_RF      , LL Road Frame - Black- 60       ,  205.0, R           , Components , Road Frames      , Yes
        154, CO-RF-FR-R38B-62,        261, CO_RF      , LL Road Frame - Black- 62       ,  205.0, R           , Components , Road Frames      , Yes
        155, CO-RF-FR-R72Y-38,        418, CO_RF      , ML Road Frame-W - Yellow- 38    ,  361.0, R           , Components , Road Frames      , Yes
        156, CO-RF-FR-R72Y-40,        430, CO_RF      , ML Road Frame-W - Yellow- 40    ,  361.0, R           , Components , Road Frames      , Yes
        157, CO-RF-FR-R72Y-42,        432, CO_RF      , ML Road Frame-W - Yellow- 42    ,  361.0, R           , Components , Road Frames      , Yes
        158, CO-RF-FR-R72Y-44,        434, CO_RF      , ML Road Frame-W - Yellow- 44    ,  361.0, R           , Components , Road Frames      , Yes
        159, CO-RF-FR-R72Y-48,        436, CO_RF      , ML Road Frame-W - Yellow- 48    ,  361.0, R           , Components , Road Frames      , Yes
        160, CO-RF-FR-R92B-44,        440, CO_RF      , HL Road Frame - Black- 44       ,  869.0, R           , Components , Road Frames      , Yes
        161, CO-RF-FR-R92B-48,        442, CO_RF      , HL Road Frame - Black- 48       ,  869.0, R           , Components , Road Frames      , Yes
        162, CO-RF-FR-R92B-52,        444, CO_RF      , HL Road Frame - Black- 52       ,  869.0, R           , Components , Road Frames      , Yes
        163, CO-RF-FR-R92B-58,        210, CO_RF      , HL Road Frame - Black- 58       ,  869.0, R           , Components , Road Frames      , Yes
        164, CO-RF-FR-R92B-62,        438, CO_RF      , HL Road Frame - Black- 62       ,  869.0, R           , Components , Road Frames      , Yes
        165, CO-RF-FR-R92R-44,        243, CO_RF      , HL Road Frame - Red- 44         ,  869.0, R           , Components , Road Frames      , Yes
        166, CO-RF-FR-R92R-48,        246, CO_RF      , HL Road Frame - Red- 48         ,  869.0, R           , Components , Road Frames      , Yes
        167, CO-RF-FR-R92R-52,        249, CO_RF      , HL Road Frame - Red- 52         ,  869.0, R           , Components , Road Frames      , Yes
        168, CO-RF-FR-R92R-56,        252, CO_RF      , HL Road Frame - Red- 56         ,  869.0, R           , Components , Road Frames      , Yes
        169, CO-RF-FR-R92R-58,        211, CO_RF      , HL Road Frame - Red- 58         ,  869.0, R           , Components , Road Frames      , Yes
        170, CO-RF-FR-R92R-62,        240, CO_RF      , HL Road Frame - Red- 62         ,  869.0, R           , Components , Road Frames      , Yes
        171, CO-SA-SE-M236   ,        515, CO_SA      , LL Mountain Seat/Saddle         ,   12.0, M           , Components , Saddles          , No
        172, CO-SA-SE-M798   ,        516, CO_SA      , ML Mountain Seat/Saddle         ,   17.0, M           , Components , Saddles          , No
        173, CO-SA-SE-M940   ,        517, CO_SA      , HL Mountain Seat/Saddle         ,   23.0, M           , Components , Saddles          , No
        174, CO-SA-SE-R581   ,        518, CO_SA      , LL Road Seat/Saddle             ,   12.0, R           , Components , Saddles          , No
        175, CO-SA-SE-R908   ,        519, CO_SA      , ML Road Seat/Saddle             ,   17.0, T           , Components , Saddles          , No
        176, CO-SA-SE-R995   ,        520, CO_SA      , HL Road Seat/Saddle             ,   23.0, R           , Components , Saddles          , No
        177, CO-SA-SE-T312   ,        521, CO_SA      , LL Touring Seat/Saddle          ,   12.0, T           , Components , Saddles          , No
        178, CO-SA-SE-T762   ,        522, CO_SA      , ML Touring Seat/Saddle          ,   17.0, T           , Components , Saddles          , No
        179, CO-SA-SE-T924   ,        523, CO_SA      , HL Touring Seat/Saddle          ,   23.0, T           , Components , Saddles          , No
        180, CO-TF-FR-T67U-44,        510, CO_TF      , LL Touring Frame - Blue- 44     ,  200.0, T           , Components , Touring Frames   , Yes
        181, CO-TF-FR-T67U-50,        502, CO_TF      , LL Touring Frame - Blue- 50     ,  200.0, T           , Components , Touring Frames   , Yes
        182, CO-TF-FR-T67U-54,        503, CO_TF      , LL Touring Frame - Blue- 54     ,  200.0, T           , Components , Touring Frames   , Yes
        183, CO-TF-FR-T67U-58,        504, CO_TF      , LL Touring Frame - Blue- 58     ,  200.0, T           , Components , Touring Frames   , Yes
        184, CO-TF-FR-T67U-62,        505, CO_TF      , LL Touring Frame - Blue- 62     ,  200.0, T           , Components , Touring Frames   , Yes
        185, CO-TF-FR-T67Y-44,        506, CO_TF      , LL Touring Frame - Yellow- 44   ,  200.0, T           , Components , Touring Frames   , Yes
        186, CO-TF-FR-T67Y-50,        507, CO_TF      , LL Touring Frame - Yellow- 50   ,  200.0, T           , Components , Touring Frames   , Yes
        187, CO-TF-FR-T67Y-54,        508, CO_TF      , LL Touring Frame - Yellow- 54   ,  200.0, T           , Components , Touring Frames   , Yes
        188, CO-TF-FR-T67Y-58,        509, CO_TF      , LL Touring Frame - Yellow- 58   ,  200.0, T           , Components , Touring Frames   , Yes
        189, CO-TF-FR-T67Y-62,        493, CO_TF      , LL Touring Frame - Yellow- 62   ,  200.0, T           , Components , Touring Frames   , Yes
        190, CO-TF-FR-T98U-46,        497, CO_TF      , HL Touring Frame - Blue- 46     ,  602.0, T           , Components , Touring Frames   , Yes
        191, CO-TF-FR-T98U-50,        498, CO_TF      , HL Touring Frame - Blue- 50     ,  602.0, T           , Components , Touring Frames   , Yes
        192, CO-TF-FR-T98U-54,        499, CO_TF      , HL Touring Frame - Blue- 54     ,  602.0, T           , Components , Touring Frames   , Yes
        193, CO-TF-FR-T98U-60,        500, CO_TF      , HL Touring Frame - Blue- 60     ,  602.0, T           , Components , Touring Frames   , Yes
        194, CO-TF-FR-T98Y-46,        494, CO_TF      , HL Touring Frame - Yellow- 46   ,  602.0, T           , Components , Touring Frames   , Yes
        195, CO-TF-FR-T98Y-50,        495, CO_TF      , HL Touring Frame - Yellow- 50   ,  602.0, T           , Components , Touring Frames   , Yes
        196, CO-TF-FR-T98Y-54,        496, CO_TF      , HL Touring Frame - Yellow- 54   ,  602.0, T           , Components , Touring Frames   , Yes
        197, CO-TF-FR-T98Y-60,        492, CO_TF      , HL Touring Frame - Yellow- 60   ,  602.0, T           , Components , Touring Frames   , Yes
